EducationSector,Age,Gender,City,Influenced,Perseverance,DesireToTakeInitiative,Competitiveness,SelfReliance,StrongNeedToAchieve,SelfConfidence,GoodPhysicalHealth,y,KeyTraits_Passion,KeyTraits_Positivity,KeyTraits_Resilience,KeyTraits_Vision,KeyTraits_Work Ethic
0,19,0,1,0,4,5,4,4,5,5,4,0,0,1,0,0,0
1,18,0,1,1,4,4,3,4,5,5,4,0,0,0,0,1,0
0,20,0,1,1,3,1,1,5,5,5,5,1,0,1,0,0,0
1,19,0,0,1,4,5,5,5,5,4,5,0,1,0,0,0,0
0,20,0,1,1,4,4,4,4,4,4,4,1,0,1,0,0,0
8,20,0,1,1,3,2,3,2,2,3,3,0,0,0,0,1,0
0,20,0,1,0,4,5,4,5,5,3,4,0,1,0,0,0,0
3,21,0,1,1,4,3,3,5,4,3,4,1,0,1,0,0,0
1,20,0,0,0,3,4,3,4,5,2,3,0,0,0,0,1,0
0,22,0,1,1,2,5,5,3,4,4,5,0,0,1,0,0,0
4,20,0,1,1,4,5,5,4,4,5,4,1,0,1,0,0,0
8,19,0,1,1,3,3,2,2,3,3,3,0,0,1,0,0,0
0,20,0,1,1,3,3,3,4,4,3,4,0,1,0,0,0,0
1,18,1,1,0,4,5,5,4,5,4,4,0,1,0,0,0,0
0,21,0,0,0,4,4,4,4,4,4,4,0,1,0,0,0,0
8,22,0,1,1,2,2,3,3,3,3,3,0,1,0,0,0,0
0,19,0,0,1,5,4,5,5,5,4,3,1,0,0,0,1,0
1,19,1,1,1,4,3,3,4,5,4,3,0,1,0,0,0,0
7,19,0,0,1,3,5,3,3,5,5,2,0,0,0,0,1,0
8,19,0,1,1,4,3,3,4,5,5,5,1,1,0,0,0,0
0,20,0,1,1,3,3,5,3,5,4,2,0,0,0,0,1,0
4,20,1,1,0,5,4,5,5,5,5,3,0,0,0,0,0,1
3,20,0,1,1,4,4,5,5,5,5,5,1,1,0,0,0,0
0,20,0,1,0,5,4,4,4,4,5,3,0,0,0,0,0,1
0,22,0,0,1,3,4,4,4,5,5,5,0,1,0,0,0,0
1,19,0,1,1,4,3,5,4,5,4,3,1,0,0,0,0,1
2,20,0,1,1,5,5,5,5,4,5,4,0,1,0,0,0,0
4,20,0,1,0,5,4,4,5,5,4,5,0,0,0,0,1,0
3,19,1,1,1,3,5,2,4,4,4,2,1,0,1,0,0,0
0,20,0,1,1,5,5,4,4,5,5,3,0,0,1,0,0,0
0,20,0,1,0,4,3,5,4,5,4,4,0,0,1,0,0,0
0,19,0,1,1,4,4,4,5,5,4,5,1,0,1,0,0,0
0,20,0,1,1,5,5,5,5,4,4,4,0,0,0,0,0,1
0,18,0,1,0,2,3,3,2,2,2,3,0,0,1,0,0,0
1,17,0,1,0,5,4,4,5,5,5,5,0,0,1,0,0,0
1,19,0,0,1,3,4,5,5,5,4,5,0,0,0,0,0,1
0,20,0,1,0,2,3,3,2,3,2,2,0,0,1,0,0,0
2,20,1,1,1,4,4,3,4,5,4,3,0,0,1,0,0,0
4,20,0,1,1,3,5,5,5,3,4,5,1,0,0,0,1,0
0,20,1,1,0,3,4,4,4,4,3,3,1,1,0,0,0,0
0,21,0,1,1,5,3,4,4,4,4,3,0,0,1,0,0,0
6,20,0,1,1,2,3,2,1,2,3,2,0,0,0,0,1,0
0,20,1,1,0,5,5,5,5,5,5,5,0,0,0,0,0,1
0,21,0,1,1,3,5,5,4,5,5,4,0,0,1,0,0,0
0,21,0,1,1,4,4,4,4,4,4,4,0,0,1,0,0,0
0,20,1,1,1,4,5,4,4,4,5,4,0,0,1,0,0,0
1,19,0,1,1,3,3,3,3,3,3,3,0,0,1,0,0,0
0,20,1,1,1,3,5,4,4,5,4,4,0,0,1,0,0,0
0,19,0,1,1,4,3,3,3,4,4,4,0,1,0,0,0,0
0,20,1,1,1,3,4,4,4,5,5,3,1,1,0,0,0,0
8,19,1,1,1,4,5,5,4,5,4,3,0,1,0,0,0,0
0,20,0,1,1,3,3,3,4,4,4,4,1,0,0,0,0,1
2,19,0,1,1,3,3,3,3,3,3,3,0,1,0,0,0,0
1,20,0,1,0,3,2,1,2,3,2,2,0,0,1,0,0,0
0,19,0,1,0,5,5,5,5,5,5,5,1,0,0,0,1,0
8,20,0,1,1,3,4,4,4,3,3,4,0,1,0,0,0,0
1,20,0,0,1,2,2,3,2,3,3,2,0,0,0,1,0,0
0,20,0,1,1,4,5,5,5,4,5,4,1,0,0,0,0,1
0,20,0,1,1,3,4,3,5,5,5,5,0,1,0,0,0,0
0,20,0,1,0,4,4,4,4,4,4,4,1,0,1,0,0,0
0,20,0,1,1,2,2,2,2,2,2,2,0,0,0,0,1,0
1,20,0,1,1,3,4,3,5,4,3,2,0,0,1,0,0,0
1,21,0,0,1,3,4,3,4,5,3,4,0,1,0,0,0,0
0,20,0,0,0,3,4,5,5,3,4,4,0,1,0,0,0,0
4,19,0,1,0,3,1,3,4,3,3,5,0,1,0,0,0,0
0,20,0,0,1,4,4,4,4,5,5,5,0,0,1,0,0,0
1,18,1,1,1,4,3,4,4,4,5,5,0,0,1,0,0,0
0,22,0,1,0,2,3,2,3,3,3,3,0,0,1,0,0,0
1,19,0,1,1,2,3,2,3,2,2,4,1,1,0,0,0,0
2,19,1,1,1,2,2,2,2,2,2,2,1,0,1,0,0,0
4,17,1,1,0,3,2,1,3,3,2,3,0,0,1,0,0,0
6,18,1,1,1,2,1,3,1,2,3,4,0,0,0,0,0,1
8,20,1,1,0,2,2,2,2,2,4,3,1,0,1,0,0,0
8,19,0,1,1,4,5,5,5,5,4,4,0,0,1,0,0,0
2,22,1,1,1,4,3,4,5,5,4,3,0,0,1,0,0,0
2,21,0,1,1,2,1,2,2,2,4,4,0,0,0,0,1,0
1,20,1,0,1,2,1,1,2,2,2,4,0,0,0,1,0,0
2,21,0,0,0,3,1,1,1,5,5,5,0,1,0,0,0,0
1,25,1,1,1,4,4,3,3,3,4,4,0,1,0,0,0,0
4,22,0,0,1,2,1,2,3,2,3,3,0,0,0,0,1,0
2,21,0,0,1,2,2,3,3,3,3,3,0,1,0,0,0,0
2,21,0,1,0,4,4,4,3,4,5,5,0,1,0,0,0,0
5,18,0,1,1,5,5,5,5,5,5,5,1,0,0,0,1,0
4,19,1,1,0,4,5,5,5,5,5,5,0,0,0,0,1,0
8,22,1,1,0,3,3,3,3,3,3,2,0,0,1,0,0,0
2,21,1,1,1,4,5,5,5,5,4,2,0,0,1,0,0,0
5,20,0,1,1,4,4,4,4,4,4,4,1,0,0,0,0,1
0,18,1,1,1,4,3,4,4,3,3,4,0,1,0,0,0,0
0,18,0,0,1,3,3,4,4,4,3,4,0,1,0,0,0,0
2,21,0,1,1,3,4,4,4,5,4,5,1,1,0,0,0,0
2,19,1,1,0,2,2,2,2,1,2,2,0,1,0,0,0,0
8,20,0,1,1,2,3,3,3,3,3,3,1,0,0,0,0,1
0,20,0,0,1,2,1,1,2,3,4,3,1,1,0,0,0,0
0,20,1,1,1,4,5,5,4,5,5,5,0,0,0,0,0,1
2,19,1,1,1,4,5,5,5,5,5,5,1,1,0,0,0,0
3,19,1,0,0,2,2,1,2,2,2,3,1,0,1,0,0,0
0,18,0,1,1,3,3,2,2,3,3,2,1,0,0,0,0,1
8,20,1,1,0,4,5,4,4,3,5,5,0,1,0,0,0,0
0,22,0,0,1,4,3,4,4,5,3,4,0,1,0,0,0,0
8,19,0,1,1,4,3,3,4,4,3,3,1,0,0,0,0,1
0,19,0,1,1,3,4,5,5,4,4,2,1,0,0,0,0,1
1,20,0,1,1,4,5,5,4,5,4,5,1,1,0,0,0,0
2,19,0,1,1,3,4,3,4,5,4,4,1,0,0,0,1,0
0,17,0,1,1,5,5,4,4,5,5,4,0,0,1,0,0,0
8,21,1,0,1,3,1,2,3,2,2,4,0,1,0,0,0,0
1,20,1,1,0,4,4,4,4,4,4,2,0,0,0,0,0,1
1,18,1,1,0,4,5,3,2,3,4,4,0,1,0,0,0,0
0,17,0,0,1,3,4,4,2,3,2,3,0,1,0,0,0,0
8,21,1,1,0,4,5,4,5,4,4,4,1,0,1,0,0,0
8,19,1,0,1,4,4,4,5,4,4,4,1,1,0,0,0,0
2,20,0,1,1,2,3,2,3,2,3,2,1,0,1,0,0,0
0,20,0,1,1,4,4,4,5,4,4,4,1,0,0,0,0,1
0,19,0,1,1,5,5,5,5,5,5,5,1,0,1,0,0,0
0,19,1,1,0,3,4,5,4,4,3,3,0,0,0,0,0,1
0,20,0,1,1,3,4,5,5,4,5,5,1,0,1,0,0,0
2,19,0,1,1,4,5,5,5,4,5,4,0,1,0,0,0,0
0,19,0,1,0,3,3,3,3,3,3,3,0,0,1,0,0,0
0,20,0,1,1,4,4,4,4,4,5,3,1,0,0,0,0,1
0,19,0,0,1,4,5,5,4,4,4,5,1,0,1,0,0,0
6,17,0,1,1,4,5,5,3,4,4,4,0,0,0,0,1,0
2,20,1,1,1,3,4,3,4,3,4,3,1,0,1,0,0,0
0,20,1,1,1,2,3,3,2,3,2,2,0,1,0,0,0,0
0,20,0,1,1,4,4,5,3,4,4,5,1,0,1,0,0,0
0,21,0,1,1,4,5,4,5,4,4,3,0,0,1,0,0,0
0,21,1,0,0,2,2,3,3,3,3,2,1,0,1,0,0,0
0,20,0,1,0,4,5,4,4,5,5,5,1,0,0,0,1,0
1,19,0,1,0,2,2,3,3,2,2,3,0,0,1,0,0,0
0,20,1,1,1,2,3,2,3,3,3,2,1,1,0,0,0,0
1,19,0,1,1,4,5,5,5,5,5,5,1,0,0,0,1,0
2,20,1,1,1,4,5,5,4,4,5,5,1,0,0,0,0,1
0,19,0,1,0,3,2,3,3,4,2,4,0,0,0,0,0,1
0,19,0,1,1,4,5,4,3,4,4,5,1,0,1,0,0,0
0,19,0,1,0,2,2,2,2,2,2,2,0,0,0,0,0,1
0,22,1,1,1,3,4,4,3,4,4,3,1,0,0,0,1,0
0,19,0,1,0,3,2,2,3,3,2,2,0,1,0,0,0,0
0,18,0,0,1,3,5,3,5,5,5,2,1,1,0,0,0,0
